af	Germanic
als	
am	West Semitic
an	Italic
ar	West Semitic
arz	West Semitic
as	Indo-Iranian
ast	Italic
av	
az	
azb	Oghuz
ba	Kipchak-Turkestan
bar	Germanic
bcl	
be	Balto-Slavic
bg	Balto-Slavic
bh	
bn	North Volta-Congo
bo	Bodish
bpy	
br	Celtic
bs	
bxr	Eastern Mongolic
ca	Italic
cbk	Italic
ce	Chechen-Ingush
ceb	Greater Central Philippine
ckb	Indo-Iranian
cs	Balto-Slavic
cv	Chuvash
cy	Celtic
da	Germanic
de	Germanic
dsb	Balto-Slavic
dv	
el	Graeco-Phrygian
eml	
en	Germanic
eo	Esperanto
es	Italic
et	Coastal Finnic
eu	
fa	
fi	Coastal Finnic
fr	Italic
frr	Germanic
fy	Germanic
ga	Celtic
gd	Celtic
gl	Italic
gn	
gom	Indo-Iranian
gu	Indo-Iranian
he	
hi	Indo-Iranian
hr	
hsb	Balto-Slavic
ht	
hu	Hungarian
hy	
ia	
id	
ie	
ilo	Northern Luzon
io	Ido
is	Germanic
it	Italic
ja	Japan-Taiwan Japanese
jbo	
jv	Javanesic
ka	Georgic
kk	Kipchak-Turkestan
km	
kn	South Dravidian I
ko	
krc	Kipchak-Turkestan
ku	Indo-Iranian
kv	Komi
kw	Celtic
ky	
la	Italic
lb	
lez	
li	
lmo	Italic
lo	Daic-Beic
lrc	Indo-Iranian
lt	Balto-Slavic
lv	Balto-Slavic
mai	Indo-Iranian
mg	
mhr	Eastern Mari
min	Malayo-Chamic
mk	Balto-Slavic
ml	South Dravidian I
mn	Eastern Mongolic
mr	Indo-Iranian
mrj	Western Mari
ms	
mt	West Semitic
mwl	Italic
my	Lolo-Burmese
myv	Erzya
mzn	Indo-Iranian
nah	
nap	
nds	Germanic
ne	Indo-Iranian
new	
nl	Germanic
nn	Germanic
no	Germanic
oc	Italic
or	Indo-Iranian
os	Indo-Iranian
pa	
pam	Central Luzon
pl	Balto-Slavic
pms	
pnb	Indo-Iranian
ps	Indo-Iranian
pt	Italic
qu	
rm	Italic
ro	Italic
ru	Balto-Slavic
rue	Balto-Slavic
sa	Indo-Iranian
sah	Sakha-Dolgan
scn	Italic
sd	Indo-Iranian
sh	
si	Indo-Iranian
sk	Balto-Slavic
sl	Balto-Slavic
so	East Cushitic
sq	Albanian
sr	
su	Sundanese
sv	Germanic
sw	Benue-Congo
ta	South Dravidian I
te	South Dravidian II
tg	Indo-Iranian
th	Daic-Beic
tk	Oghuz
tl	Greater Central Philippine
tr	Oghuz
tt	Kipchak-Turkestan
tyv	South Siberian Turkic
ug	
uk	Balto-Slavic
ur	Indo-Iranian
uz	Kipchak-Turkestan
vec	Italic
vi	Viet-Muong
vls	
vo	
wa	Italic
war	Greater Central Philippine
wuu	Classical-Middle-Modern Sinitic
xal	Eastern Mongolic
xmf	Zan
yi	
yo	Benue-Congo
yue	Classical-Middle-Modern Sinitic
zh	
